sex,age,Family Size,Parents' Cohabitation Status,Mother's education,Father's education,Mother's job,Father's job,reason to choose school,traveltime (home to school),weekly study time ,past class failures,schoolsup,famsup,takes extra paid classes,extra-curricular activities,nursery,willingness to pursue higher education,access to internet,In romantic relationship or not,famrel,freetime after school,Going Out,Workday Alchohol Consumption,Weekend Alchohol Consumption,health,absences,dropout
Female,17,Greater than 3,Living Together,9th grade,9th grade,other,other,course,<15 min,2 to 5 hours,0,no,yes,no,no,no,yes,yes,no,Excellent,plenty,daily,Very Low,low,very good,4,no
Male,17,Greater than 3,Living Together,4th grade,4th grade,other,other,reputation,<15 min,2 to 5 hours,0,no,no,yes,no,no,yes,yes,no,Good,moderate,occasionally,Very Low,low,good,2,no
Female,18,Greater than 3,Living Together,9th grade,9th grade,at_home,at_home,other,<15 min,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,moderate,occasionally,Very Low,low,bad,5,no
Female,17,Greater than 3,Living Together,4th grade,4th grade,services,teacher,reputation,<15 min,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,moderate,occasionally,Very Low,very low,average,6,no
Male,18,Greater than 3,Living Together,9th grade,4th grade,services,services,reputation,<15 min,5 to 10 hours,0,no,no,yes,yes,yes,yes,yes,no,Good,limited,regularly,Very Low,average,bad,6,no
Male,18,Less or equal to 3,Apart,higher education,higher education,teacher,teacher,reputation,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,plenty,occasionally,Very Low,very low,bad,9,no
Male,18,Greater than 3,Living Together,higher education,9th grade,teacher,other,home,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Good,moderate,rarely,Very Low,high,very good,11,no
Female,17,Greater than 3,Living Together,higher education,12th grade,health,services,reputation,<15 min,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,limited,rarely,Very Low,low,average,0,no
Female,18,Less or equal to 3,Living Together,9th grade,4th grade,services,at_home,reputation,<15 min,2 to 5 hours,1,no,no,no,no,yes,yes,yes,yes,Excellent,plenty,occasionally,Very Low,very low,very good,12,no
Female,17,Less or equal to 3,Living Together,12th grade,4th grade,services,other,reputation,15 to 30 min,>10 hours,0,no,yes,yes,no,yes,yes,no,no,Average,scarce,rarely,Very Low,very low,average,6,no
Male,18,Less or equal to 3,Living Together,12th grade,9th grade,services,other,reputation,15 to 30 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,plenty,rarely,Very Low,very low,good,8,no
Male,17,Greater than 3,Living Together,12th grade,12th grade,health,other,home,<15 min,<2 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,plenty,occasionally,Very Low,average,very good,4,no
Female,19,Greater than 3,Living Together,higher education,higher education,health,other,reputation,15 to 30 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Bad,moderate,regularly,Low,average,bad,0,yes
Female,18,Less or equal to 3,Living Together,higher education,12th grade,other,other,home,15 to 30 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,yes,Good,plenty,daily,Very Low,low,bad,10,yes
Female,18,Greater than 3,Living Together,higher education,12th grade,other,other,reputation,<15 min,>10 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,moderate,occasionally,Very Low,very low,average,0,no
Male,18,Less or equal to 3,Living Together,higher education,higher education,teacher,teacher,home,<15 min,<2 hours,0,no,yes,yes,no,yes,yes,yes,yes,Very Bad,plenty,rarely,Low,low,very bad,5,no
Female,18,Less or equal to 3,Apart,higher education,higher education,health,other,home,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,yes,Good,limited,regularly,Very Low,very low,good,14,no
Male,17,Less or equal to 3,Living Together,higher education,higher education,other,teacher,home,15 to 30 min,<2 hours,0,no,no,yes,no,yes,yes,yes,no,Good,scarce,very rarely,Low,low,very good,0,no
Female,17,Greater than 3,Living Together,higher education,9th grade,other,other,reputation,15 to 30 min,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,moderate,occasionally,Very Low,very low,average,0,no
Female,17,Greater than 3,Living Together,12th grade,9th grade,health,health,reputation,<15 min,>10 hours,0,no,yes,yes,yes,no,yes,yes,no,Excellent,limited,rarely,Very Low,low,very good,0,no
Male,19,Greater than 3,Living Together,12th grade,12th grade,other,other,home,<15 min,2 to 5 hours,1,no,yes,no,yes,yes,yes,yes,yes,Good,plenty,regularly,Very Low,very low,average,20,no
Female,18,Greater than 3,Living Together,9th grade,higher education,services,at_home,reputation,<15 min,2 to 5 hours,1,no,yes,yes,yes,yes,yes,yes,no,Good,plenty,occasionally,Very Low,very low,average,8,no
Male,20,Greater than 3,Apart,12th grade,9th grade,services,other,course,<15 min,<2 hours,0,no,no,no,yes,yes,yes,no,no,Excellent,ample,occasionally,Very Low,very low,very good,0,no
Male,19,Greater than 3,Living Together,higher education,higher education,teacher,services,reputation,15 to 30 min,<2 hours,1,no,yes,yes,no,yes,yes,yes,yes,Good,moderate,regularly,Very Low,very low,good,38,yes
Male,19,Greater than 3,Living Together,12th grade,12th grade,other,services,reputation,<15 min,2 to 5 hours,1,no,no,no,yes,yes,yes,no,yes,Good,ample,occasionally,Very Low,low,very good,0,no
Female,19,Less or equal to 3,Living Together,4th grade,4th grade,at_home,other,reputation,<15 min,2 to 5 hours,1,yes,yes,no,yes,no,yes,yes,no,Good,plenty,occasionally,Very Low,average,average,18,no
Female,19,Less or equal to 3,Living Together,4th grade,9th grade,services,services,home,<15 min,2 to 5 hours,1,no,no,no,yes,no,yes,no,yes,Good,limited,regularly,Low,low,average,0,yes
Female,19,Greater than 3,Living Together,9th grade,4th grade,at_home,other,other,30 min to 1 hour,2 to 5 hours,0,no,yes,no,no,yes,no,yes,yes,Average,plenty,very rarely,Very Low,very low,bad,20,no
Male,19,Greater than 3,Living Together,4th grade,9th grade,other,services,course,<15 min,2 to 5 hours,1,no,no,no,no,no,yes,yes,no,Good,ample,rarely,Low,low,good,3,no
Female,19,Less or equal to 3,Living Together,12th grade,9th grade,services,other,reputation,15 to 30 min,2 to 5 hours,1,no,yes,yes,no,no,yes,yes,yes,Good,limited,rarely,Very Low,low,very bad,22,no
Female,19,Greater than 3,Living Together,4th grade,4th grade,at_home,health,home,<15 min,5 to 10 hours,2,no,no,no,no,no,yes,yes,yes,Good,scarce,rarely,Very Low,very low,average,14,no
Female,19,Greater than 3,Living Together,9th grade,12th grade,other,other,reputation,<15 min,5 to 10 hours,1,no,no,no,no,yes,yes,yes,yes,Good,scarce,rarely,Very Low,very low,average,40,no
Female,18,Greater than 3,Living Together,9th grade,4th grade,services,other,course,15 to 30 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,moderate,occasionally,Very Low,low,very bad,0,yes
Female,18,Greater than 3,Living Together,higher education,12th grade,other,other,course,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Good,moderate,regularly,Very Low,very low,very good,9,yes
Female,17,Greater than 3,Living Together,12th grade,higher education,at_home,services,course,<15 min,5 to 10 hours,0,no,yes,yes,yes,no,yes,yes,no,Good,moderate,regularly,Low,very high,very good,0,no
Female,18,Greater than 3,Living Together,higher education,higher education,teacher,other,course,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,plenty,regularly,Average,average,very good,2,no
Female,17,Greater than 3,Apart,higher education,12th grade,services,services,course,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,yes,Excellent,limited,rarely,Very Low,low,very good,23,no
Female,17,Greater than 3,Living Together,9th grade,9th grade,other,other,course,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,yes,Good,limited,rarely,Very Low,very low,average,12,yes
Female,17,Less or equal to 3,Living Together,9th grade,9th grade,services,services,course,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,Average,moderate,rarely,Low,low,average,3,no
Female,17,Greater than 3,Living Together,12th grade,4th grade,services,services,course,<15 min,5 to 10 hours,0,no,yes,no,no,no,yes,yes,no,Average,plenty,occasionally,Low,average,very good,1,no
Female,17,Less or equal to 3,Living Together,none,9th grade,at_home,at_home,home,15 to 30 min,5 to 10 hours,0,no,no,no,no,yes,yes,yes,no,Average,moderate,occasionally,Low,average,bad,0,no
Male,18,Greater than 3,Living Together,higher education,higher education,other,other,course,<15 min,5 to 10 hours,0,no,no,no,yes,yes,yes,yes,no,Good,moderate,occasionally,Low,low,average,3,no
Male,17,Greater than 3,Living Together,12th grade,12th grade,other,services,reputation,<15 min,<2 hours,0,no,no,no,yes,no,yes,yes,no,Good,moderate,daily,Average,very high,very good,3,no
Male,17,Greater than 3,Living Together,9th grade,9th grade,services,other,course,>1 hour,<2 hours,0,no,yes,no,no,yes,yes,yes,no,Good,plenty,daily,Very High,very high,good,8,no
Female,17,Greater than 3,Living Together,higher education,higher education,teacher,services,course,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,plenty,regularly,Very Low,average,good,7,yes
Female,17,Greater than 3,Living Together,higher education,higher education,teacher,teacher,course,15 to 30 min,5 to 10 hours,0,no,yes,yes,no,no,yes,yes,yes,Good,moderate,occasionally,Very Low,low,good,4,no
Male,18,Less or equal to 3,Living Together,9th grade,9th grade,other,other,course,<15 min,>10 hours,0,no,yes,no,yes,yes,yes,yes,no,Good,ample,daily,Low,high,very good,2,yes
Female,17,Greater than 3,Living Together,9th grade,higher education,at_home,other,course,<15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,Good,plenty,occasionally,Very Low,very low,very good,7,no
Female,18,Greater than 3,Living Together,12th grade,12th grade,services,services,home,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,Excellent,moderate,regularly,Very Low,very low,good,0,yes
Female,18,Less or equal to 3,Living Together,9th grade,9th grade,other,other,home,<15 min,2 to 5 hours,0,no,no,no,yes,no,yes,yes,yes,Good,moderate,occasionally,Very Low,very low,bad,0,yes
Female,18,Greater than 3,Living Together,9th grade,9th grade,at_home,other,course,15 to 30 min,>10 hours,0,no,no,no,yes,yes,yes,no,no,Good,plenty,regularly,Very Low,very low,good,0,yes
Female,17,Greater than 3,Living Together,12th grade,higher education,services,other,course,<15 min,5 to 10 hours,0,no,no,no,no,yes,yes,yes,no,Good,plenty,daily,Very Low,average,very good,16,no
Female,19,Greater than 3,Apart,12th grade,4th grade,services,at_home,home,<15 min,5 to 10 hours,1,no,no,yes,no,yes,yes,no,no,Excellent,plenty,occasionally,Very Low,low,very good,12,no
Female,17,Greater than 3,Living Together,12th grade,9th grade,other,other,home,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,yes,Good,moderate,rarely,Low,average,bad,0,yes
Female,18,Less or equal to 3,Living Together,12th grade,12th grade,services,services,home,<15 min,>10 hours,0,no,yes,no,no,yes,yes,yes,no,Excellent,moderate,occasionally,Very Low,very low,very bad,7,no
Female,17,Greater than 3,Apart,12th grade,9th grade,other,other,home,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,moderate,occasionally,Low,average,bad,4,no
Female,19,Greater than 3,Living Together,9th grade,4th grade,services,services,home,<15 min,5 to 10 hours,1,no,no,yes,yes,yes,yes,yes,yes,Good,moderate,regularly,Very Low,average,average,4,no
Male,18,Greater than 3,Living Together,higher education,higher education,teacher,services,home,<15 min,2 to 5 hours,1,no,yes,no,yes,yes,yes,yes,no,Good,moderate,occasionally,Low,low,bad,0,yes
Male,18,Less or equal to 3,Living Together,12th grade,higher education,services,other,home,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,Good,moderate,occasionally,Very Low,average,very good,11,no
Female,17,Greater than 3,Apart,9th grade,9th grade,at_home,at_home,home,<15 min,2 to 5 hours,1,no,yes,no,no,yes,yes,yes,yes,Average,moderate,very rarely,Very Low,low,good,0,yes
Female,18,Greater than 3,Living Together,9th grade,12th grade,at_home,other,course,<15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,no,Good,moderate,occasionally,Very Low,low,average,4,no
Female,18,Greater than 3,Living Together,12th grade,9th grade,other,services,other,<15 min,5 to 10 hours,0,no,no,no,no,yes,yes,yes,yes,Excellent,plenty,occasionally,Low,average,very bad,7,no
Male,18,Greater than 3,Living Together,higher education,12th grade,teacher,services,course,<15 min,5 to 10 hours,0,no,no,no,no,yes,yes,yes,yes,Excellent,moderate,rarely,Very Low,low,good,9,no
Male,18,Greater than 3,Living Together,higher education,12th grade,teacher,other,course,<15 min,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,yes,Excellent,plenty,daily,Low,average,very good,0,yes
Female,17,Greater than 3,Living Together,higher education,12th grade,health,other,reputation,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Good,plenty,occasionally,Very Low,average,good,0,no
Male,18,Greater than 3,Living Together,12th grade,9th grade,other,other,course,15 to 30 min,<2 hours,1,no,yes,no,no,no,yes,yes,no,Bad,ample,daily,Very High,very high,very good,10,no
Male,19,Greater than 3,Living Together,4th grade,4th grade,other,services,home,30 min to 1 hour,2 to 5 hours,3,no,no,no,no,yes,yes,yes,no,Excellent,plenty,regularly,Average,average,bad,8,yes
Male,17,Greater than 3,Living Together,12th grade,12th grade,health,other,course,15 to 30 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,ample,regularly,Low,average,average,2,no
Male,18,Less or equal to 3,Living Together,4th grade,12th grade,at_home,services,course,<15 min,<2 hours,1,no,no,no,no,yes,no,yes,yes,Good,moderate,occasionally,Low,average,average,7,yes
Male,19,Greater than 3,Living Together,4th grade,4th grade,other,other,home,30 min to 1 hour,<2 hours,1,no,yes,no,no,yes,yes,yes,no,Good,plenty,regularly,Average,average,very good,4,yes
Male,17,Greater than 3,Living Together,higher education,12th grade,services,other,home,15 to 30 min,2 to 5 hours,0,no,yes,yes,yes,no,yes,yes,yes,Good,ample,daily,Very Low,average,bad,4,no
Female,18,Greater than 3,Living Together,12th grade,12th grade,services,services,course,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,yes,Excellent,moderate,regularly,Very Low,very low,very good,0,yes
Female,17,Greater than 3,Living Together,higher education,higher education,teacher,services,other,15 to 30 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Good,moderate,occasionally,Very Low,low,very good,4,no
Female,17,Less or equal to 3,Apart,12th grade,9th grade,services,other,reputation,15 to 30 min,2 to 5 hours,0,no,no,no,no,yes,yes,no,yes,Very Bad,limited,occasionally,Very Low,low,very good,2,no
Male,18,Less or equal to 3,Living Together,4th grade,4th grade,other,services,home,15 to 30 min,<2 hours,0,no,no,no,no,no,yes,yes,yes,Average,moderate,rarely,Very Low,low,average,4,no
Female,18,Less or equal to 3,Living Together,4th grade,4th grade,at_home,services,course,15 to 30 min,5 to 10 hours,0,no,no,no,no,yes,yes,yes,no,Excellent,moderate,rarely,Very Low,very low,good,0,no
Female,18,Less or equal to 3,Apart,4th grade,higher education,at_home,other,course,30 min to 1 hour,2 to 5 hours,0,no,no,no,no,yes,yes,no,yes,Good,moderate,regularly,Very Low,high,very good,0,no
Male,18,Less or equal to 3,Living Together,4th grade,4th grade,at_home,other,other,15 to 30 min,2 to 5 hours,1,no,no,no,yes,no,no,no,no,Good,plenty,occasionally,Low,average,very good,2,no
Female,18,Greater than 3,Living Together,12th grade,12th grade,services,services,other,15 to 30 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,yes,Good,moderate,rarely,Very Low,average,average,0,no
Female,17,Less or equal to 3,Living Together,higher education,higher education,at_home,at_home,course,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Bad,moderate,regularly,Very Low,very low,very bad,0,no
Female,17,Greater than 3,Living Together,4th grade,9th grade,other,services,course,15 to 30 min,2 to 5 hours,0,no,no,no,no,no,yes,no,no,Average,limited,rarely,Very Low,low,average,0,no
Male,18,Greater than 3,Living Together,4th grade,12th grade,at_home,other,course,15 to 30 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,Average,moderate,regularly,Low,high,average,4,no
Male,18,Less or equal to 3,Living Together,higher education,higher education,teacher,services,other,15 to 30 min,5 to 10 hours,0,no,no,yes,no,yes,yes,yes,yes,Good,limited,rarely,Low,low,very good,0,no
Female,17,Greater than 3,Living Together,4th grade,4th grade,other,services,reputation,30 min to 1 hour,<2 hours,1,no,yes,yes,no,yes,yes,yes,yes,Excellent,limited,very rarely,Very Low,low,very bad,0,yes
Female,18,Greater than 3,Living Together,9th grade,12th grade,at_home,services,course,15 to 30 min,<2 hours,0,no,yes,yes,no,yes,yes,yes,yes,Excellent,limited,occasionally,Very Low,low,good,0,no
Female,18,Greater than 3,Living Together,higher education,higher education,other,teacher,other,30 min to 1 hour,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,yes,Average,limited,rarely,High,low,very good,10,no
Female,19,Less or equal to 3,Living Together,12th grade,9th grade,services,services,home,15 to 30 min,2 to 5 hours,2,no,no,no,yes,yes,yes,no,yes,Average,limited,rarely,Very Low,very low,average,4,yes
Male,18,Less or equal to 3,Living Together,4th grade,9th grade,at_home,services,other,30 min to 1 hour,<2 hours,0,no,yes,yes,yes,yes,no,yes,yes,Good,moderate,occasionally,Low,average,average,3,no
Female,17,Greater than 3,Living Together,9th grade,9th grade,other,at_home,home,<15 min,5 to 10 hours,0,no,no,no,yes,yes,yes,no,yes,Average,plenty,occasionally,Very Low,very low,average,8,no
Female,17,Greater than 3,Living Together,4th grade,9th grade,other,other,course,<15 min,<2 hours,0,no,no,no,yes,yes,yes,yes,no,Average,ample,daily,Very Low,average,very bad,14,yes
Female,18,Less or equal to 3,Living Together,higher education,higher education,other,other,reputation,15 to 30 min,5 to 10 hours,0,no,no,no,no,yes,yes,yes,no,Excellent,plenty,regularly,Very Low,very low,very bad,0,no
Female,18,Greater than 3,Living Together,4th grade,4th grade,other,other,home,>1 hour,5 to 10 hours,0,no,no,no,no,yes,yes,yes,no,Good,moderate,rarely,Very Low,low,good,2,no
Female,20,Greater than 3,Living Together,higher education,9th grade,health,other,course,15 to 30 min,5 to 10 hours,2,no,yes,yes,no,no,yes,yes,yes,Excellent,plenty,occasionally,Very Low,very low,average,4,no
Female,18,Less or equal to 3,Living Together,higher education,higher education,teacher,services,course,<15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,no,Excellent,plenty,occasionally,Average,high,bad,4,no
Female,18,Greater than 3,Living Together,12th grade,12th grade,other,other,home,<15 min,2 to 5 hours,0,no,no,yes,no,yes,yes,yes,yes,Good,scarce,occasionally,Very Low,low,very bad,0,no
Female,17,Greater than 3,Living Together,12th grade,4th grade,at_home,other,reputation,<15 min,2 to 5 hours,0,no,yes,yes,yes,no,yes,yes,no,Good,ample,regularly,Low,average,very bad,17,no
Male,18,Greater than 3,Living Together,higher education,higher education,teacher,teacher,home,<15 min,2 to 5 hours,0,no,no,yes,yes,no,yes,yes,no,Average,limited,regularly,Very Low,high,bad,4,no
Male,18,Greater than 3,Living Together,9th grade,4th grade,other,other,other,15 to 30 min,<2 hours,0,no,no,no,yes,no,yes,yes,yes,Good,plenty,occasionally,Very Low,average,very good,5,yes
Male,17,Greater than 3,Living Together,9th grade,12th grade,other,services,home,15 to 30 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,Good,plenty,occasionally,Very Low,very low,average,2,no
Male,19,Greater than 3,Living Together,4th grade,4th grade,other,services,other,15 to 30 min,<2 hours,1,no,no,no,no,yes,yes,no,no,Good,moderate,rarely,Very Low,average,very good,0,yes
Male,18,Greater than 3,Living Together,higher education,9th grade,other,other,home,15 to 30 min,<2 hours,1,no,no,yes,no,yes,yes,no,no,Excellent,plenty,occasionally,High,average,average,14,yes
Female,18,Greater than 3,Living Together,9th grade,9th grade,at_home,other,other,15 to 30 min,5 to 10 hours,0,no,no,yes,no,yes,yes,no,no,Excellent,moderate,occasionally,Very Low,average,good,2,no
Female,18,Greater than 3,Living Together,higher education,higher education,teacher,at_home,reputation,30 min to 1 hour,<2 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Good,plenty,occasionally,Low,low,very good,7,yes
Female,19,Greater than 3,Living Together,9th grade,12th grade,services,other,course,<15 min,5 to 10 hours,1,no,no,no,yes,no,yes,yes,no,Excellent,plenty,rarely,Very Low,low,very good,0,yes
Female,18,Less or equal to 3,Living Together,12th grade,4th grade,teacher,services,course,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,moderate,regularly,Very Low,very low,very bad,0,yes
Female,18,Greater than 3,Living Together,4th grade,4th grade,other,other,course,15 to 30 min,2 to 5 hours,1,no,no,no,yes,yes,yes,no,no,Very Bad,scarce,very rarely,Very Low,very low,very good,0,yes
Male,20,Less or equal to 3,Apart,9th grade,9th grade,services,services,course,<15 min,2 to 5 hours,2,no,yes,yes,no,yes,yes,no,no,Excellent,ample,regularly,High,very high,good,11,yes
Male,17,Less or equal to 3,Living Together,12th grade,4th grade,services,services,course,15 to 30 min,<2 hours,0,no,no,no,no,no,yes,yes,no,Bad,plenty,daily,Average,high,bad,3,no
Male,21,Greater than 3,Living Together,4th grade,4th grade,other,other,course,<15 min,<2 hours,3,no,no,no,no,no,yes,no,no,Excellent,ample,occasionally,Average,average,average,3,yes
Male,18,Less or equal to 3,Living Together,12th grade,9th grade,services,other,course,30 min to 1 hour,<2 hours,0,no,no,no,no,no,yes,yes,no,Good,plenty,very rarely,Average,high,very good,0,no
Male,19,Less or equal to 3,Living Together,4th grade,4th grade,other,at_home,course,<15 min,<2 hours,0,no,no,no,no,yes,yes,yes,no,Average,limited,occasionally,Average,average,very good,5,yes
